100 1000
-46 -22 -65 
-6 19 -31 
33 -54 -41 
97 -48 27 
21 -27 86 
-87 -79 85 
-43 -74 -68 
-40 -45 -48 
92 87 -37 
48 39 -17 
-89 -22 -38 
48 -6 63 
88 55 -31 
-89 -85 68 
43 47 64 
-64 -60 -25 
32 7 -74 
87 -89 -10 
84 -66 -7 
-32 28 63 
92 -4 -26 
1 -42 4 
74 23 -15 
-16 -62 -61 
-61 -31 -40 
13 -24 45 
85 58 4 
-32 -52 -92 
50 -63 -34 
-43 -18 24 
75 -9 -47 
-76 9 76 
-62 -32 -8 
72 94 -69 
25 43 -82 
55 97 -18 
-37 23 -63 
-77 58 15 
61 53 -9 
41 -48 -88 
32 -73 60 
17 52 53 
82 73 -36 
-20 11 92 
-27 67 87 
-89 15 -26 
-84 -78 -52 
10 -72 -48 
-2 53 75 
-30 -93 45 
84 -91 24 
-4 -53 61 
-99 -16 7 
3 70 82 
14 -72 -42 
34 -48 8 
-73 -11 -15 
44 -8 83 
77 -51 -26 
-27 -70 68 
20 -21 54 
-35 -45 -70 
95 -33 99 
27 -54 -26 
85 85 60 
-23 -99 -51 
12 39 15 
79 -77 -75 
-79 -4 -79 
-27 -92 16 
-88 -15 82 
66 -87 48 
39 -11 65 
-91 33 42 
-87 33 92 
-31 10 35 
85 -7 34 
40 72 -81 
6 -99 77 
-45 -45 -91 
-4 -44 -81 
-54 83 98 
45 -67 -35 
97 -12 -46 
75 -42 -48 
44 55 61 
44 -65 -8 
43 49 -41 
30 -21 6 
-51 -42 29 
88 66 -20 
27 -92 42 
-77 -73 9 
29 93 -87 
88 -61 45 
-41 -70 -28 
-6 98 53 
86 31 -53 
-100 35 6 
22 -67 60 
-87 59 73 
-12 -35 -61 
-69 3 7 
25 44 56 
62 -62 94 
92 -86 25 
20 -41 75 
-37 -46 -90 
-88 81 -9 
68 -78 75 
-30 58 59 
-6 -78 -5 
-11 -4 -24 
98 -95 16 
-32 -5 -17 
97 91 -51 
-32 52 -57 
17 28 89 
40 -40 -100 
55 40 -89 
-71 64 96 
-3 -10 -81 
27 -70 -24 
-47 48 35 
-98 81 -84 
93 -52 -16 
91 -1 10 
40 76 11 
18 -77 -32 
23 -51 -96 
-1 -55 -51 
-42 -46 -30 
-9 22 12 
21 -71 -42 
12 -46 -61 
57 67 22 
-96 53 97 
-51 28 -19 
-38 -63 -89 
16 49 -12 
-74 60 85 
-97 -29 77 
-27 -27 68 
-7 50 39 
-19 -25 82 
-20 100 52 
79 77 33 
66 34 -39 
58 -61 33 
92 10 2 
54 -50 14 
75 -64 92 
-42 -83 22 
1 85 -42 
17 -36 64 
1 14 92 
2 20 -20 
3 -96 -69 
34 41 57 
14 99 75 
-76 47 26 
-79 -12 -55 
-71 -23 -21 
38 55 42 
-24 -23 94 
-70 93 -35 
83 30 20 
-98 -95 7 
60 62 -84 
72 99 -42 
28 99 -84 
-8 -31 -1 
2 30 -37 
15 -19 56 
-29 3 -31 
-67 68 68 
-16 10 87 
-43 -76 -80 
41 -78 -34 
62 46 10 
-76 -22 64 
98 93 13 
-71 -34 72 
-39 97 7 
34 66 99 
-63 22 96 
79 -29 -43 
-30 20 57 
-65 29 -27 
35 37 -74 
-70 67 -14 
31 -78 98 
42 47 -43 
-39 75 27 
-66 46 -6 
15 70 -7 
-41 10 68 
24 -54 -62 
79 81 -46 
-58 37 29 
99 44 -75 
23 -64 54 
-23 -82 47 
-62 25 -60 
54 12 -64 
23 14 -63 
18 -26 -46 
83 62 52 
90 -9 -13 
100 -32 52 
-78 27 92 
-6 59 -47 
-6 100 -25 
-10 -16 -100 
-97 -13 87 
25 -21 15 
-90 -80 -22 
70 53 20 
17 68 -90 
84 -99 -61 
62 23 35 
17 44 -51 
48 -49 -20 
-99 41 -14 
91 -81 63 
27 49 -2 
58 97 25 
54 76 41 
9 11 1 
-62 -90 -29 
-70 23 -83 
-68 97 21 
73 -70 -74 
62 84 39 
65 -31 -31 
-71 66 -2 
96 -47 -80 
-31 48 78 
-87 94 99 
-5 35 38 
-67 4 -100 
48 69 -8 
18 33 93 
52 -67 -2 
98 -21 -76 
-35 -72 86 
-53 50 8 
-61 -93 -67 
50 -84 41 
31 -11 -7 
58 33 23 
-81 73 -29 
-58 55 17 
-32 76 30 
-50 -50 -93 
88 88 4 
-68 -10 98 
74 21 59 
-81 97 -9 
-58 -52 -95 
-73 25 66 
31 -58 36 
-47 93 48 
-5 -23 -70 
59 -60 -99 
-15 15 -1 
63 64 -88 
-47 -57 -87 
-54 91 80 
-35 8 -9 
-95 -87 -13 
-35 -18 93 
17 -13 -83 
8 60 59 
-7 25 85 
-28 -40 28 
21 -98 -45 
-92 -31 68 
-87 -27 -83 
-90 -65 -56 
-43 52 99 
-77 30 12 
30 -58 66 
-53 15 2 
-90 1 -78 
-50 -26 81 
-95 9 27 
9 -92 72 
-5 71 60 
-55 -31 27 
-37 -25 -84 
7 61 42 
-7 -9 -55 
24 5 15 
98 -59 53 
49 -14 50 
61 55 94 
94 -91 11 
13 -29 42 
16 -16 27 
11 -29 -8 
37 -39 -44 
-53 -23 -29 
100 96 93 
-43 -38 -22 
8 42 -18 
-3 -43 98 
-87 73 -100 
16 -65 17 
-66 48 83 
-67 67 -84 
-52 34 -76 
-73 -24 100 
-11 -65 -90 
42 25 -70 
-23 53 -13 
-7 -97 -11 
-18 -47 -76 
79 28 -90 
36 68 43 
-86 52 -34 
-41 -93 -31 
51 -86 -37 
-24 9 -13 
42 19 -51 
9 70 -7 
-91 38 -88 
31 -32 -17 
-31 -83 3 
-83 -92 -69 
74 -45 -58 
46 56 53 
68 -9 -33 
84 73 -18 
-35 -58 -75 
12 95 89 
-86 13 56 
-22 -22 -96 
-95 -83 -67 
-66 -47 55 
32 84 79 
31 -74 -82 
-12 -91 -55 
3 14 -29 
-29 72 72 
76 -1 -27 
-39 5 47 
-9 -73 -52 
76 97 -27 
-5 1 53 
88 -78 -46 
6 40 40 
95 98 -48 
31 -81 -100 
64 -3 -32 
33 -78 61 
12 62 1 
-57 29 95 
-40 90 73 
-22 63 -97 
64 44 -16 
15 -56 88 
16 -78 -44 
-55 49 93 
27 -68 -78 
79 43 68 
-54 71 86 
-81 -78 47 
74 -35 9 
-4 -77 -37 
-30 -29 -91 
-56 41 -60 
-73 38 -86 
-14 66 69 
57 74 -50 
12 89 91 
86 -99 -62 
31 -47 54 
41 21 34 
25 -39 -15 
66 -58 21 
-13 -97 -92 
51 -54 75 
75 13 4 
-29 93 -28 
76 -48 8 
24 85 -34 
91 -65 -65 
61 23 -33 
-90 48 -13 
57 -4 -1 
41 66 -20 
81 -10 76 
76 21 -78 
11 92 87 
-18 8 62 
-70 -93 3 
50 -16 -35 
30 78 49 
60 -44 65 
-33 90 10 
59 -41 -20 
53 99 -75 
-47 -65 -61 
-37 27 -33 
-100 7 31 
-10 84 -30 
-4 -42 -27 
-39 -76 -64 
5 -22 67 
-78 70 -58 
49 16 -83 
-82 -98 42 
-64 -79 90 
-22 39 -78 
30 -17 -77 
30 1 46 
-47 19 -75 
-42 60 11 
-62 -44 25 
39 56 95 
36 17 27 
-56 -93 34 
-45 29 21 
74 -15 -57 
-63 -3 25 
8 28 51 
-32 73 36 
96 28 -58 
-64 58 -70 
13 87 2 
-60 28 -21 
17 -11 -26 
-33 27 -9 
11 -89 -48 
56 52 39 
-65 15 83 
50 -33 91 
44 30 87 
34 -70 65 
91 59 -43 
-24 -43 -56 
46 85 75 
52 95 54 
-1 -36 -26 
-24 -37 46 
19 12 -10 
-5 -84 58 
97 3 -31 
-20 26 -61 
-18 -98 -72 
-84 4 -28 
-96 -100 -48 
89 -4 74 
53 -47 -14 
-48 -84 -95 
94 26 -40 
84 86 -52 
-95 87 -46 
100 64 36 
47 15 96 
-81 65 -99 
67 -83 -44 
63 65 -5 
80 4 -69 
-65 66 80 
34 56 -29 
-59 26 3 
33 -84 31 
38 57 -85 
34 63 33 
62 89 -57 
-99 -15 -75 
16 7 59 
19 -5 11 
6 73 -92 
-50 5 -97 
-59 66 -42 
